"","lr_pair","ligand","receptor"
"1630","Ccn1_Tlr2","Ccn1","Tlr2"
"1631","Vcan_Tlr2","Vcan","Tlr2"
"1632","Bgn_Tlr2","Bgn","Tlr2"
"1633","Npy_Npy2r","Npy","Npy2r"
"1634","Bdnf_Insrr","Bdnf","Insrr"
"1635","Ntf3_Ntrk1","Ntf3","Ntrk1"
"1636","Bdnf_Ntrk1","Bdnf","Ntrk1"
"1637","Ntf5_Ntrk1","Ntf5","Ntrk1"
"1638","Ngf_Ntrk1","Ngf","Ntrk1"
"1639","Crp_Fcgr1","Crp","Fcgr1"
"1640","Tfpi_F3","Tfpi","F3"
"1641","F7_F3","F7","F3"
"1642","Adam10_Tspan5","Adam10","Tspan5"
"1643","Tac1_Tacr3","Tac1","Tacr3"
"1644","Tac2_Tacr3","Tac2","Tacr3"
"1645","Gdf10_Bmpr1b","Gdf10","Bmpr1b"
"1646","Bmp6_Bmpr1b","Bmp6","Bmpr1b"
"1647","Gdf7_Bmpr1b","Gdf7","Bmpr1b"
"1648","Bmp4_Bmpr1b","Bmp4","Bmpr1b"
"1649","Gdf5_Bmpr1b","Gdf5","Bmpr1b"
"1650","Gdf6_Bmpr1b","Gdf6","Bmpr1b"
"1651","Bmp10_Bmpr1b","Bmp10","Bmpr1b"
"1652","Efna5_Epha7","Efna5","Epha7"
"1653","Efnb1_Epha7","Efnb1","Epha7"
"1654","Apoe_Abca1","Apoe","Abca1"
"1655","Pltp_Abca1","Pltp","Abca1"
"1656","Apoa1_Abca1","Apoa1","Abca1"
"1657","Nppb_Npr2","Nppb","Npr2"
"1658","Nppa_Npr2","Nppa","Npr2"
"1659","Wnt7a_Reck","Wnt7a","Reck"
"1660","Lep_Leprot","Lep","Leprot"
"1661","Grn_Tnfrsf1b","Grn","Tnfrsf1b"
"1662","Adam17_Tnfrsf1b","Adam17","Tnfrsf1b"
"1663","Efna5_Epha8","Efna5","Epha8"
"1664","Ihh_Ptch2","Ihh","Ptch2"
"1665","Tnfsf9_Tnfrsf9","Tnfsf9","Tnfrsf9"
"1666","Cck_Cckar","Cck","Cckar"
"1667","Fgf21_Klb","Fgf21","Klb"
"1668","Fgf15_Klb","Fgf15","Klb"
"1669","Gnrh1_Gnrhr","Gnrh1","Gnrhr"
"1670","Tgfb2_Tgfbr3","Tgfb2","Tgfbr3"
"1671","Inhba_Tgfbr3","Inhba","Tgfbr3"
"1672","Thbs1_Scarb2","Thbs1","Scarb2"
"1673","Bgn_P2rx4","Bgn","P2rx4"
"1674","Mmp14_Flt1","Mmp14","Flt1"
"1675","Vegfa_Flt1","Vegfa","Flt1"
"1676","Trf_Tfr2","Trf","Tfr2"
"1677","Adam10_Gpnmb","Adam10","Gpnmb"
"1678","S100a10_Trpv5","S100a10","Trpv5"
"1679","S100a10_Trpv6","S100a10","Trpv6"
